id,rec_coord,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,POINT(25 -25),-64.87221985460772,-68.7110049092953,-50.6710216336859,-55.75487792424026,-57.153839270756805,-63.03991446502533,-71.67699682594177,-48.65706742833707,-64.62003775420338,-51.3417984402445,-53.30877130212635,-50.22826460551048,-55.64804120873103,-60.385148303432686,-47.34470300531618,-59.80377748223546,-56.836006599673134,-64.18532618816005,-50.79833163114992,-68.07066784877011,-64.25486725598672,-71.73747842697337,-59.56010550284585,-61.002877180903276,-54.872956116169796,-35.466600989828876,-56.42469257227669,-56.912515112770784,-57.22375711809072,-64.81963492228822,-68.13408313985524,-54.94435437126752,-54.85580014190433,-64.34886274123649,-44.79577571243397,-63.451697704169455,-66.09660302968645,-57.103445972008515,-48.00872579822287,-57.71522961494065,-59.880163734332825,-55.92810351867471,-66.18079359427479,-70.64678658816047,-54.603255677000035,-58.456524965079936,-66.6651941192501,-55.4223068659084,-53.377106528550044,-53.76952722005224,-73.65958515034747,-57.10650763551414,-59.669793825710194,-61.7074416307914,-64.2952917391072,-49.87986917365976,-69.42639171502518,-49.31652219857119,-65.40457582986271,-63.797684723171365,-45.642600882355275,-54.338122356368636,-65.16081830621319,-70.00768984777628,-69.24849470744498,-54.55252570879847,-61.69549137207419,-66.08035166898728,-57.08678187886694,-39.50469416915017,-55.84804099228694,-56.673991346009295,-67.27981355042748,-80.10885214103857,-65.65779176378479,-57.312319468539194,-66.17848647686205,-65.44102406009102,-60.316381733828855,-54.30617715611476,-63.58505018839249,-46.615420555341174,-53.13192174517226,-66.75881200809484,-56.34864318748859,-46.679205134151175,-59.17330201576111,-67.22760500810493,-61.87350018557682,-54.267652354071856,-54.508551888468425,-64.85195860666748,-54.50700198802518,-58.53448852994704,-42.84224381410427,-54.389201514824165,-65.46083745690713,-64.06009872875453,-67.58194844836056,-76.28918532875467
1,POINT(75 -25),-60.88849292134385,-69.4831107909752,-64.14321347534992,-66.96867487481806,-45.6745818827406,-52.59226787251018,-50.79074467478403,-60.063256609167865,-58.8062398612968,-56.97007148422865,-66.96501903826069,-82.9635685002103,-63.4260054877656,-52.24768672587507,-58.70052063047531,-46.7095809290525,-39.6274578716112,-60.09626228368778,-61.76167727723989,-43.0306038930161,-55.880979264741725,-64.49792839662987,-54.93538050522283,-53.29092356582563,-66.14411804812354,-49.86662617567515,-51.852805488249636,-46.7792746340169,-60.07337770812175,-56.89341246384405,-63.22767437240007,-45.724500501018795,-57.05712876079661,-58.44976516560863,-52.795907875350636,-58.75829909465596,-58.948502281515225,-55.36659223660081,-62.65297331284671,-56.445869094107415,-50.908067545093346,-60.13675149022238,-70.2908469216318,-67.780641186784,-59.516984493790225,-56.51825981744409,-69.9794739493831,-52.65757730547705,-55.33034539474295,-67.02379855373518,-46.618068355240595,-58.12552001219239,-51.76481156110959,-68.0758687067713,-54.35504755891062,-64.46117254410036,-53.82807113197576,-66.2217215300006,-61.77595355756858,-58.81399016606153,-66.3642739735333,-45.103123327551096,-38.9672763273565,-56.30416492332188,-49.82342471543858,-62.11493471232263,-53.14976751491836,-63.912897546130054,-49.71763239935954,-48.3113021087028,-64.43770545754839,-61.521062108090106,-59.70680132756869,-68.2330517747407,-67.05722475669644,-61.51275922895136,-62.864980929748015,-49.23519106503529,-70.993902521879,-65.6669044189506,-57.44632643445867,-49.40269384895604,-46.4915196619702,-57.50602001730909,-76.114017799092,-63.02055838578825,-59.921946517063745,-61.11314331953288,-63.33813124526278,-48.03377184965285,-52.509448444824585,-58.096134584296166,-40.5634829462648,-72.55537630172509,-74.2467844275213,-50.75678172156148,-59.075580299922116,-67.82013075237742,-50.71901166917584,-61.177706843196596
2,POINT(125 -25),-66.8463448508579,-56.521142338598544,-57.551924345293884,-75.84626014229515,-51.73242252253985,-62.797497822761365,-67.28227997635935,-50.76646303201026,-57.972761284499505,-65.70854365923466,-53.240166324386436,-60.23138327094286,-51.48367172766122,-62.862670187867735,-51.31495958269387,-57.674325946057785,-60.42897900729562,-58.59644638297399,-49.37128869925767,-65.73756926451051,-50.449105663916114,-64.63810288590747,-60.703252199419666,-59.361280439494244,-52.031076190925525,-51.287684554961366,-60.61968938754916,-64.25934320813991,-50.30673202473132,-53.417209115322436,-60.91117976287499,-55.93025222160994,-68.70129714815805,-62.13830791752024,-64.46332807741945,-57.10843600419568,-60.43043833073032,-57.7561386858538,-40.75335167508525,-49.408706663036085,-40.49866662002945,-65.98391543807102,-57.624855593415596,-74.49424049147575,-58.183560768149086,-57.64436828787958,-56.32148756668862,-48.817893907743816,-66.10891191665608,-68.91338418736055,-41.31103464874515,-59.39004408760412,-59.013660647822306,-59.44461684111513,-61.03077882337843,-51.84935629763709,-59.871813309238775,-58.42764011257272,-48.906900846772885,-54.663179877062575,-69.89597817919164,-51.81958763172756,-62.945881802888124,-64.4094436200746,-58.37845836977298,-65.25881219170523,-64.53256981626083,-61.74526085165758,-58.578582550933454,-50.48666097344073,-58.885517388546674,-57.76151899908536,-65.92123988213977,-55.01069878804821,-57.52178461322087,-51.43404665846817,-54.87474738084974,-47.31837997970385,-49.6433142095788,-40.38990923636815,-55.179275024842624,-46.90378112365135,-59.89215167744355,-64.59934131624152,-51.058490884538216,-58.07326510639142,-57.27707548409081,-62.359221979688925,-60.00843224673841,-56.87183660508826,-45.65175861762465,-49.93555792158725,-49.68150610961888,-47.92554679637646,-58.504376116452185,-54.99559635322848,-52.49294808531961,-57.88146585689743,-54.544753164655695,-45.318932865828046
3,POINT(175 -25),-56.98551296247836,-59.271615032317996,-50.54105822820752,-61.40597573334727,-51.47935286728984,-38.494331140340535,-52.59403324332886,-46.58778333486778,-58.526336342457,-48.97136540931238,-64.82790205295679,-41.679928420437236,-62.9743147872248,-54.33610713889152,-65.20486731452176,-50.94019786519138,-63.687880174058726,-59.82665521812289,-54.56994814968236,-56.50083085084765,-54.523000993296655,-56.00943585180151,-48.63570062318042,-65.15870251187658,-50.358962364341664,-46.91014461740578,-63.889120423781165,-60.558487804977766,-58.360291732549086,-60.748789525074685,-52.43596900736133,-54.80028004250918,-55.67720721982505,-59.60308801173605,-46.75540661811801,-63.525643871615266,-58.01020282399088,-48.91886278008279,-60.34462763004581,-56.97926399483033,-53.11242153266767,-67.12039974728833,-50.64522259975757,-61.8187395048079,-63.78121774102016,-55.75146377485601,-59.6916184009198,-48.75333635692332,-57.79380589509556,-57.04459702017066,-66.60455165236174,-53.84261803503437,-57.93536791182942,-51.96036890089699,-55.920636230863686,-68.04918432206765,-64.22855245256233,-51.70413518755249,-53.7156603007516,-56.88163525567174,-61.64250693328439,-61.09183503730755,-71.37829882739534,-42.256291729190835,-50.59615576158636,-55.93499577969143,-52.7664438993378,-57.72569730631289,-51.17261906782954,-72.36254827854773,-65.98706082646724,-59.17865633142624,-62.14760833471189,-54.58884908036636,-37.36122415409254,-59.64004721050952,-48.22130081311098,-59.16327181623253,-50.28854704636048,-61.443377289891885,-54.19108005142936,-47.40813001937458,-58.313136581186775,-61.62106758684111,-50.586275211084356,-51.585111573335666,-57.27741115827678,-57.12463526173797,-57.11101468577928,-56.66249219508667,-51.73032760961182,-53.17704434673835,-49.16915236723059,-63.26281005922924,-59.26558757915894,-60.53711362052998,-58.09859882744332,-58.15085435074083,-59.18324124314287,-58.11114241764362
4,POINT(225 -25),-64.06667928604875,-54.49750335325854,-53.485395615882844,-54.27430327603134,-64.60152665101378,-39.17839147869004,-63.81645079551458,-56.28794931936807,-67.78902158059984,-59.114361099333586,-46.99043252814819,-41.28919310037494,-45.540759336883134,-52.673231975787004,-44.00924785375424,-41.818909541385636,-62.11680013143476,-54.022882133090114,-42.13305464305924,-54.773559317604985,-57.66825464837024,-54.53558823426793,-67.35452488625954,-55.67350023207286,-63.41520333035464,-52.39107208365975,-50.279345084072496,-62.05064496579757,-55.30718624339525,-42.630783747785436,-76.43869437374914,-48.26907065777141,-65.02910713234739,-48.460943544198095,-41.49000004289274,-54.04922923389355,-53.283694732424784,-58.47083866676289,-63.72828072801936,-45.43477599707684,-61.121269228261404,-57.48105179276963,-61.32587436880958,-51.64262786450931,-60.35942539799694,-50.768827401997044,-54.7399254530715,-57.317632811658754,-42.07820106867024,-56.04013987252455,-49.301749711349366,-50.606726182665774,-47.52441194592346,-64.41389401678278,-55.51294084071532,-66.97148299526924,-62.12770101146265,-51.31818408272208,-66.88096558577433,-59.04955842369101,-49.73090053984194,-62.66190846697334,-57.440377553642044,-44.492755193648335,-53.68772888935498,-39.34117811012194,-55.040182474022444,-73.53104825270555,-51.781043349279514,-62.91113562625858,-69.36133547356914,-61.83811632523626,-59.070887960343796,-65.00793728932986,-51.969769540719845,-70.26676657583124,-45.33962946923054,-61.684279865488996,-41.324063065933935,-53.0720535127971,-49.502291664055114,-60.423804205586045,-48.26844009669237,-59.053870577910274,-52.52462994548706,-50.15057091668308,-50.56582030224462,-57.024610817725446,-55.989526233090615,-67.00469828916444,-36.24224394692764,-50.678534643825955,-63.580354570096695,-65.3210439063875,-52.25723004887325,-50.58010308083953,-58.23969774005827,-67.54201929072444,-66.25260553555884,-63.032889339765646
5,POINT(275 -25),-58.49501241545357,-50.06189020051322,-53.009021474788675,-45.240521173301296,-67.0009658036947,-46.6395450214254,-50.95304324800204,-50.41813390323605,-50.246839321487464,-52.41199034834847,-64.71194478352339,-51.90804302309703,-47.39839003001643,-58.432636349931116,-59.02794289138642,-51.152986445584,-60.064012508554676,-61.494919874684285,-66.41989315949199,-54.461177882342305,-52.7507634250779,-63.35818609159204,-62.06463941552042,-56.02947952732297,-46.13333218973592,-50.017107321045444,-58.81982030137249,-59.04855029333152,-71.6363387842308,-63.1143956663893,-41.758346956911794,-63.40021861394592,-61.56454833369987,-51.010394520646805,-46.558327604097165,-52.130223531816746,-53.01366484449829,-52.84695625292266,-47.99354593844764,-57.135489955246065,-60.238102700491055,-56.807940889182085,-56.77835812164626,-51.282380761352194,-49.883519671685235,-46.787296187775226,-65.48284313561906,-49.903069342956876,-66.57931457497699,-53.412733289345454,-43.5432200675184,-44.9614580539359,-52.27858255145673,-49.64961309282827,-51.97964870201892,-61.6845844868981,-47.466525723365734,-55.29415956630248,-70.488752586802,-65.80233827973272,-48.276373450134926,-46.406916543279316,-60.7118380481259,-59.96965569793438,-52.32854118915509,-58.253325261046804,-53.77303541266182,-50.83858850026635,-55.945022028369344,-49.071380330872195,-55.70762500361555,-48.977386431476404,-57.09141243727897,-67.3081265464872,-49.73134577004796,-65.83356158655953,-67.1422714388326,-66.21944937200969,-52.972569072419475,-63.87472134835396,-62.60086224121924,-57.74708849310841,-53.780152176269354,-73.9283653677025,-63.351033235774004,-51.85746704020349,-66.46259608726339,-62.49694589450817,-61.318091307701415,-56.54623247986486,-50.25578654472281,-50.244967712956495,-58.248294337364506,-47.56452079387958,-39.9029448889697,-49.869051447345306,-54.31217774683127,-62.1846942031061,-56.63037554568559,-63.37476332991586
6,POINT(325 -25),-56.896144618746774,-45.483134637220935,-47.88262770414686,-60.674680037995614,-52.98467940806375,-70.05023895438663,-61.251141302161635,-59.75795325655025,-43.45847477768164,-60.319962317106565,-45.10864184677693,-72.12508242124433,-64.03402699692631,-52.29938047025342,-55.83080295343608,-45.202626327563834,-60.67978690807998,-67.32558121851454,-48.936114152236016,-61.442995402151936,-58.34338125976122,-62.431709515039984,-65.32299457937104,-68.16028152024823,-65.30900869000158,-36.92346477308374,-43.61604468666874,-61.21131363368161,-53.902347694791025,-52.43560543519644,-52.09052113636575,-56.25313501197236,-65.07463793650298,-38.98495249701844,-46.947494022461115,-45.548879793534034,-55.59184629524069,-65.51683752094213,-55.76063040571857,-55.77758147061765,-70.17526446368963,-51.940775876665256,-57.907033405537575,-61.851279241364516,-64.90641685131001,-57.523996871743904,-51.881270944055,-53.61827126057224,-43.02270762709313,-61.262876689176515,-59.650946241835136,-51.08795423900791,-58.745629059254355,-62.92883162297937,-57.94909997129878,-43.13011489883513,-51.4052988120314,-53.035060347843896,-45.241445359235435,-68.22592748039084,-52.10713367962104,-62.164729898834054,-68.39055360241443,-54.435445929187544,-58.58553133317651,-60.79477297879831,-43.049715568691234,-67.45771722936944,-45.468766670640136,-52.06125402265562,-67.17712241592014,-60.384660290451514,-49.149322158747914,-45.997979796803335,-55.53551531980794,-55.713169881933624,-73.46865468027994,-71.16808638331814,-52.6784773550379,-55.4400850080546,-70.83802795923813,-50.45566604833898,-66.42318904382928,-56.59233671508717,-57.5289727910042,-60.40867905635049,-48.565343474367566,-36.03125854047043,-62.860133674348354,-45.13450463423844,-60.625437924259465,-73.51282673019833,-59.211345118053316,-56.485898820624776,-69.08479959393284,-55.932680636475325,-51.384429138338135,-70.49160454551074,-63.78181962928623,-50.346861357126215
7,POINT(375 -25),-63.997919229690254,-44.18243061824395,-68.85375117005275,-52.650665844445925,-47.036788118842345,-49.080204643191585,-51.29191109417756,-55.53851770246972,-65.91536423082009,-48.85511399808118,-56.443213765870844,-63.40463906547805,-57.51894353239786,-54.12002189067461,-47.71108981355563,-53.9014255277097,-50.64820517965155,-55.504360425577104,-59.94483240973663,-48.15488957389206,-63.43700248683851,-59.0209470942582,-52.44284607062484,-51.8053079214723,-58.4261457658532,-56.05467434547889,-56.58808011687549,-65.2294766004384,-53.023522808869885,-49.03622394854345,-66.9310730619089,-62.807424979832184,-49.250898486654556,-44.51906144870175,-53.37045424904193,-66.6836891000262,-54.52989343025246,-53.670223044920945,-54.218606685144664,-64.04503095625502,-49.81836109202658,-41.94958718664065,-60.47782990929043,-59.498536533821266,-61.76622517086311,-50.552209235563275,-55.74885856724784,-55.186520651261816,-56.725142875742684,-61.58721797761276,-58.94616608957255,-59.53085716994806,-45.90509338636745,-50.91560987280574,-65.62191559620219,-51.52836581339433,-52.03114904106836,-51.73924900327382,-60.23956207498211,-60.05847280811864,-69.60559177962844,-54.1480973021363,-47.97196629061014,-41.95570783556255,-59.95015379686421,-67.70176439153695,-60.30807810902551,-50.51348909458483,-62.82592193563131,-58.010564525325805,-47.35963013254115,-72.15400019932375,-71.27178562641905,-53.368557811750186,-60.63209149171346,-55.6854991594846,-45.90387123441635,-58.268095463501815,-64.00949424410625,-46.88544661271155,-57.91970565180455,-54.85001642212707,-40.80085325863545,-58.7243390467267,-58.76015665786092,-56.79516953929086,-54.896550832036176,-65.32999188983538,-59.22498512431382,-59.51378505219256,-55.36762949867685,-71.95891159149845,-52.78762601397287,-75.20174346387654,-51.57543379769708,-57.306614562249955,-66.67582662098019,-47.870259199595694,-59.33289234431303,-44.44103001335075
8,POINT(425 -25),-55.64505153190622,-61.10816579836682,-59.93954876510239,-58.89305740227624,-48.888746750947234,-49.60637160986624,-66.55973128590782,-52.26159862499223,-66.35491061465062,-56.929612723362865,-66.03153774828608,-68.14159867799629,-48.5298156144939,-77.5852226844303,-39.2248319688953,-56.30311909622506,-55.1526577852772,-59.65219131386522,-61.22845681111747,-41.106297704009194,-52.228609028326105,-55.31903321194424,-63.94254544451203,-58.524785860641444,-45.9484265460453,-72.0761513383543,-64.95985271951393,-54.4783077342994,-45.236409722122396,-65.90969321581579,-58.86952437790364,-57.32117671806263,-59.68500239175767,-52.15207471591068,-68.46269801494776,-57.92005002408836,-63.69067580157527,-58.97132036889024,-61.24267178930071,-59.58899428637879,-57.11768800134256,-69.2406050992701,-51.849040169067536,-63.83595584279818,-58.33730416488938,-67.76459438646216,-54.581992961467456,-61.7394448884544,-73.7569339720574,-55.34508298435884,-67.73860092793174,-62.831912803014944,-53.07331922859372,-59.996109540156766,-57.74268160609914,-55.53462904971952,-68.08904072652604,-65.95669130548266,-58.39643798069689,-53.1758233639942,-47.6443909018817,-49.03732191888674,-46.665633118367595,-54.41662271997675,-63.07779445585357,-60.23104765429376,-56.12664821764622,-64.1693671697767,-56.02808800580011,-61.593621718705265,-71.7976053341637,-67.78948033185834,-68.48848047823755,-63.26125807224355,-64.78684259266147,-44.873037608038,-61.2872637764756,-60.44625633950077,-71.9449931336633,-77.91329303498219,-67.42057430934182,-64.28961473455338,-62.87577305045125,-48.6540042364636,-51.12897496957889,-62.045239221755736,-50.801614971013315,-52.49807826446674,-67.35764285413075,-54.67988368855422,-47.2230617886692,-56.995821056802086,-48.95096098716375,-51.94234124793007,-54.296903644699015,-56.18641076334322,-66.82984213473323,-57.375889755494576,-70.8840550128161,-63.74569477537122
9,POINT(475 -25),-66.6949325431956,-64.24351812222963,-74.66049701605161,-50.45507016041369,-51.05517464521826,-61.41762069247005,-55.44165133457675,-53.833625859061,-76.4831815052654,-63.68829801732949,-59.05239595647204,-78.01441423931281,-60.810510322743156,-76.19674211637181,-63.43495042876622,-68.90937991166524,-60.90209334766937,-44.07558450024591,-67.84331908183746,-52.10453346562425,-63.488606028392496,-64.94411014989869,-71.50653312591281,-55.23489058242454,-57.01273163243951,-57.74741419175249,-64.01136799963085,-73.87269277504511,-55.96417811292616,-56.31272452490356,-75.5169771983877,-57.51136728721285,-66.90266872882587,-49.46342116478391,-53.915321938547166,-62.17467755247609,-48.09158087686451,-66.90259926334642,-58.90687767883184,-57.38415693230956,-53.693016947002945,-66.39840368405883,-71.17501474813321,-66.27918073256426,-70.2489671538666,-52.911793454836996,-70.48497664495521,-58.06036532781264,-72.5234546269323,-76.86607321793171,-69.48333371723069,-59.871575269588554,-60.76303104290913,-61.64828692009332,-52.658062637582915,-57.24776244320401,-45.59367923739771,-59.273740764717914,-48.88637765922261,-57.53052921735364,-55.86843029560533,-56.75714588353442,-77.03884064303472,-56.89370203530733,-64.50409706334842,-52.536113578341826,-60.436298079796046,-80.54491860374631,-60.47941343398491,-64.13127528553417,-54.0670709263552,-56.55006741226361,-57.25414258751861,-55.49937311283238,-65.85107431910532,-48.56416470599781,-60.33947278546636,-65.68661103773216,-52.81673999999119,-72.51724948800612,-61.070662603734135,-76.0360788267875,-59.86166994775054,-68.09858031248096,-63.12235156530472,-64.58875011369288,-46.66469773101211,-58.55480417029373,-45.34390283957591,-45.69448466427251,-58.56866777013348,-58.57825492379296,-52.36648061721378,-54.63201322935731,-47.78341032796821,-73.904412757439,-62.71185009928436,-67.79878828543251,-58.65048911731019,-49.61553253627161
